pair,stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,sell_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,buy_tag,open_timestamp,close_timestamp
KDA/USDT,33.0,7.36492066,10/23/21 16:00:00,10/24/21 09:30:00,4.4807,6.89,0.002,0.002,1050,0.53156761,17.57681474,atr_roi,-439.10859999999997,-99.0,-439.10859999999997,-99.0,4.4383,6.9,False,,1635004800000.0,1635067800000.0
SUKU/USDT,38.80034886,51.70139894,10/24/21 12:00:00,10/25/21 08:00:00,0.7504700000000001,0.8697400000000001,0.002,0.002,1200,0.15430062,5.9988916,atr_roi,-73.54606000000001,-99.0,-73.54606000000001,-99.0,0.7471300000000001,0.87853,False,,1635076800000.0,1635148800000.0
BLOK/USDT,33.0,891.65090516,10/23/21 20:00:00,10/25/21 14:45:00,0.03701,0.048,0.002,0.002,2565,0.29176934,9.64764496,atr_roi,-3.62698,-99.0,-3.21195,-99.0,0.03271,0.048100000000000004,False,,1635019200000.0,1635173100000.0
ONE/USDT,38.80034886,124.82458399,10/24/21 12:00:00,10/26/21 07:00:00,0.310839,0.353195,0.002,0.002,2580,0.13172749,5.12129454,atr_roi,-30.462221999999997,-99.0,-28.189308,-99.0,0.2867,0.360377,False,,1635076800000.0,1635231600000.0
FTM/USDT,43.96370593,13.79933204,10/26/21 04:00:00,10/27/21 08:15:00,3.18593,2.7030700000000003,0.002,0.002,1695,-0.15494713,-6.825674,atr_stoploss,-312.22114,-99.0,-264.90086,-99.0,2.5009,3.47757,False,,1635220800000.0,1635322500000.0
VRA/USDT,45.65373313,574.1719599,10/26/21 08:00:00,10/27/21 23:15:00,0.0795123,0.06861692,0.002,0.002,2355,-0.1404726,-6.42592498,atr_stoploss,-7.792205399999999,-99.0,-6.72445816,-99.0,0.06840363,0.08519438,False,,1635235200000.0,1635376500000.0
MATIC/USDT,45.65373313,24.85909781,10/26/21 16:00:00,10/28/21 23:30:00,1.8365,2.1334,0.002,0.002,3330,0.15702882,7.18328987,atr_roi,-179.977,-99.0,-162.6506,-99.0,1.5928,2.1776,False,,1635264000000.0,1635463800000.0
SAND/USDT,43.65119112,41.50220685,10/29/21 04:00:00,10/30/21 13:15:00,1.05178,1.48578,0.002,0.002,1995,0.40699456,17.80132909,atr_roi,-103.07444,-99.0,-95.90868,-99.0,0.97,1.55164,False,,1635480000000.0,1635599700000.0
MANA/USDT,43.65119112,37.05691338,10/29/21 04:00:00,10/31/21 12:00:00,1.17795,3.38811,0.002,0.002,3360,1.86479444,81.5632995,atr_roi,-115.43910000000001,-99.0,-104.09266000000001,-99.0,1.05153,5.0,False,,1635480000000.0,1635681600000.0
LRC/USDT,43.65119112,76.72911078,10/29/21 04:00:00,11/02/21 04:15:00,0.5689000000000001,0.9582,0.002,0.002,5775,0.67757928,29.63629678,atr_roi,-55.75220000000001,-99.0,-49.196,-99.0,0.5011,1.1434,False,,1635480000000.0,1635826500000.0
BLOK/USDT,49.52562972,338.81285126,10/30/21 16:00:00,11/02/21 20:45:00,0.146174,0.10257899999999999,0.002,0.002,4605,-0.30104189,-14.93910768,atr_stoploss,-14.325052,-99.0,-10.052741999999999,-99.0,0.097,0.178028,False,,1635609600000.0,1635885900000.0
CHR/USDT,86.22149649,129.10965969,11/02/21 04:00:00,11/04/21 09:30:00,0.667816,0.8065279999999999,0.002,0.002,3210,0.20288871,17.52835501,atr_roi,-65.445968,-99.0,-59.87310000000001,-99.0,0.6063200000000001,0.861204,False,,1635825600000.0,1636018200000.0
SAND/USDT,76.36168542,24.88356386,11/03/21 00:00:00,11/05/21 12:00:00,3.06876,2.56012,0.002,0.002,3600,-0.16907808,-12.93690911,atr_stoploss,-300.73848000000004,-99.0,-250.89176,-99.0,2.5552200000000003,3.4444,False,,1635897600000.0,1636113600000.0
