pair,stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,sell_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,buy_tag,open_timestamp,close_timestamp
NAKA/USDT,33.0,24.67843255,10/19/21 13:00:00,10/19/21 14:00:00,1.3372,1.3621,0.002,0.002,60,0.01455465,0.48126398,roi,0.01337200000000001,-0.99,0.01337200000000001,-0.99,1.3205,1.43,False,lambo2_,1634648400000.0,1634652000000.0
NAKA/USDT,33.15881711,27.7108617,10/19/21 16:45:00,10/19/21 17:45:00,1.1966,1.2487,0.002,0.002,60,0.0393742,1.30821315,roi,0.011966000000000011,-0.99,0.011966000000000011,-0.99,1.1788,1.297,False,lambo2_,1634661900000.0,1634665500000.0
PBX/USDT,33.59052745,1732.09547016,10/21/21 03:00:00,10/21/21 04:00:00,0.019393,0.01947072745490982,0.002,0.002,60,-0.0,-0.0,roi,0.00019393000000000017,-0.99,0.00019393000000000017,-0.99,0.019,0.020543,False,lambo2_,1634785200000.0,1634788800000.0
PBX/USDT,33.59052745,1917.15812185,10/21/21 05:45:00,10/21/21 06:45:00,0.017521,0.019527,0.002,0.002,60,0.11004212,3.70376544,roi,0.00017521000000000013,-0.99,0.00017521000000000013,-0.99,0.0171,0.02001,False,lambo2_,1634795100000.0,1634798700000.0
PBX/USDT,34.81277005,1984.19891981,10/21/21 09:30:00,10/21/21 10:30:00,0.017544999999999998,0.01897,0.002,0.002,60,0.07690347,2.68257741,roi,0.00017545000000000014,-0.99,0.00017545000000000014,-0.99,0.017446,0.019431,False,lambo2_,1634808600000.0,1634812200000.0
XPR/USDT,35.69802059,978.83248131,10/21/21 12:00:00,10/21/21 13:00:00,0.03647,0.041190000000000004,0.002,0.002,60,0.12491277,4.46805705,roi,0.00036470000000000035,-0.99,0.00036470000000000035,-0.99,0.034730000000000004,0.041990000000000006,False,lambo2_,1634817600000.0,1634821200000.0
PBX/USDT,37.17247942,2294.59749506,10/21/21 15:15:00,10/21/21 16:15:00,0.0162,0.0166,0.002,0.002,60,0.02060077,0.7673134,roi,0.00016200000000000014,-0.99,0.00016200000000000014,-0.99,0.015,0.017,False,lambo2_,1634829300000.0,1634832900000.0
KDA/USDT,37.42569284,5.47167252,10/25/21 04:15:00,10/25/21 05:15:00,6.8399,7.1851,0.002,0.002,60,0.04627509,1.73534094,roi,0.06839900000000006,-0.99,0.06839900000000006,-0.99,6.55,7.5,False,lambo2_,1635135300000.0,1635138900000.0
KDA/USDT,37.99835535,6.12372973,10/25/21 16:00:00,10/25/21 17:00:00,6.2051,6.4613,0.002,0.002,60,0.03713178,1.41376834,roi,0.06205100000000005,-0.99,0.06205100000000005,-0.99,6.205,6.769,False,lambo2_,1635177600000.0,1635181200000.0
XYO/USDT,38.4648989,1362.07149095,10/26/21 12:15:00,10/26/21 13:15:00,0.02824,0.03004,0.002,0.002,60,0.05949291,2.29296563,roi,0.00028240000000000025,-0.99,0.00028240000000000025,-0.99,0.027770000000000003,0.030560000000000004,False,lambo2_,1635250500000.0,1635254100000.0
SUKU/USDT,38.4648989,51.24963214,10/26/21 10:45:00,10/26/21 13:45:00,0.7505400000000001,0.7535481763527055,0.002,0.002,180,0.0,0.0,roi,0.0075054000000000076,-0.99,0.0075054000000000076,-0.99,0.66,0.7565400000000001,False,lambo2_,1635245100000.0,1635255900000.0
BLOK/USDT,39.22157756,717.94943368,10/26/21 23:00:00,10/27/21 00:00:00,0.054630000000000005,0.057241,0.002,0.002,60,0.04361144,1.71393053,roi,0.0005463000000000005,-0.99,0.0005463000000000005,-0.99,0.0524,0.06,False,lambo2_,1635289200000.0,1635292800000.0
NAKA/USDT,39.78717464,21.36453559,10/27/21 08:00:00,10/27/21 09:00:00,1.8623,1.9278,0.002,0.002,60,0.03103914,1.23742963,roi,0.018623000000000018,-0.99,0.018623000000000018,-0.99,1.7327,2.049,False,lambo2_,1635321600000.0,1635325200000.0
XRP/USDT,39.78717464,39.86371297,10/27/21 08:15:00,10/27/21 09:15:00,0.9980800000000001,1.0020803206412827,0.002,0.002,60,0.0,0.0,roi,0.00998080000000001,-0.99,0.00998080000000001,-0.99,0.98601,1.039,False,lambo2_,1635322500000.0,1635326100000.0
BLOK/USDT,39.78717464,685.96211574,10/27/21 08:15:00,10/27/21 09:45:00,0.058002,0.058234472945891784,0.002,0.002,90,0.0,0.0,roi,0.0005800200000000005,-0.99,0.0005800200000000005,-0.99,0.055607,0.0625,False,lambo2_,1635322500000.0,1635327900000.0
KDA/USDT,40.19552641,6.77993564,10/27/21 09:30:00,10/27/21 10:30:00,5.9286,6.2348,0.002,0.002,60,0.04744975,1.91108215,roi,0.059286000000000054,-0.99,0.059286000000000054,-0.99,5.85,6.5,False,lambo2_,1635327000000.0,1635330600000.0
SUKU/USDT,40.82618352,42.38334772,10/27/21 19:45:00,10/27/21 20:45:00,0.9632600000000001,0.98301,0.002,0.002,60,0.01642943,0.67209224,roi,0.00963260000000001,-0.99,0.00963260000000001,-0.99,0.95957,1.08,False,lambo2_cofi_,1635363900000.0,1635367500000.0
SUKU/USDT,41.04797396,43.65412524,10/27/21 21:30:00,10/28/21 01:00:00,0.9403,0.9440687374749499,0.002,0.002,210,0.0,0.0,roi,0.009403000000000009,-0.99,0.009403000000000009,-0.99,0.83957,0.9497700000000001,False,lambo2_,1635370200000.0,1635382800000.0
PBX/USDT,41.04797396,2115.87494658,10/28/21 01:15:00,10/28/21 02:15:00,0.0194,0.019715,0.002,0.002,60,0.01218028,0.50097571,roi,0.0001940000000000002,-0.99,0.0001940000000000002,-0.99,0.019001,0.019985,False,lambo2_,1635383700000.0,1635387300000.0
NAKA/USDT,41.21329595,18.63421619,10/28/21 03:15:00,10/28/21 07:30:00,2.2117,2.220564529058116,0.002,0.002,255,0.0,0.0,roi,0.02211700000000002,-0.99,0.02211700000000002,-0.99,1.919,2.2611,False,lambo2_,1635390900000.0,1635406200000.0
KDA/USDT,41.21329595,7.60743811,10/28/21 08:00:00,10/28/21 09:00:00,5.4175,6.242,0.002,0.002,60,0.1475924,6.09493487,roi,0.05417500000000005,-0.99,0.05417500000000005,-0.99,5.37,6.4,False,lambo2_,1635408000000.0,1635411600000.0
NAKA/USDT,43.22462446,20.10541163,10/28/21 14:00:00,10/28/21 15:00:00,2.1499,2.239,0.002,0.002,60,0.03728633,1.61491089,roi,0.02149900000000002,-0.99,0.02149900000000002,-0.99,2.0494,2.3,False,lambo2_,1635429600000.0,1635433200000.0
MANA/USDT,43.75754505,34.5257143,10/29/21 15:00:00,10/29/21 18:45:00,1.26739,1.2724697194388777,0.002,0.002,225,0.0,0.0,roi,0.012673900000000012,-0.99,0.012673900000000012,-0.99,1.19697,1.30278,False,cofi_,1635519600000.0,1635533100000.0
SUKU/USDT,43.75754505,53.72715614,10/28/21 21:30:00,10/29/21 21:00:00,0.81444,0.79542,0.002,0.002,1410,-0.02725226,-1.19487691,sell_signal,0.008144400000000008,-0.99,0.008144400000000008,-0.99,0.72035,0.81537,False,lambo2_,1635456600000.0,1635541200000.0
BLOK/USDT,43.36323567,366.86945353,10/30/21 22:00:00,10/30/21 23:00:00,0.118198,0.129103,0.002,0.002,60,0.08790012,3.81925703,roi,0.001181980000000001,-0.99,0.001181980000000001,-0.99,0.108,0.135,False,lambo2_,1635631200000.0,1635634800000.0
PBX/USDT,43.36323567,1275.38928437,10/30/21 22:45:00,10/30/21 23:45:00,0.034,0.034136272545090184,0.002,0.002,60,0.0,0.0,roi,0.00034000000000000035,-0.99,0.00034000000000000035,-0.99,0.033366,0.036187,False,lambo2_,1635633900000.0,1635637500000.0
