pair,stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,sell_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,buy_tag,open_timestamp,close_timestamp
DOT/USDT,330.0,7.54458162,10/15/21 20:00:00,10/16/21 20:15:00,43.74,41.4,0.001,0.001,1455,-0.05538906,-18.29666667,stoploss,-4286.52,-99.0,0.4382756778988707,-0.9898476794556667,41.26,44.78,False,,1634328000000.0,1634415300000.0
MATIC/USDT,330.0,221.03148024,10/15/21 08:00:00,10/17/21 20:30:00,1.4929999999999999,1.413,0.001,0.001,3630,-0.05547433,-18.3248359,stoploss,-146.314,-99.0,0.014959889958198951,-0.9897745113067676,1.407,1.634,False,,1634284800000.0,1634502600000.0
NEAR/USDT,317.91490415,38.40015753,10/20/21 04:00:00,10/21/21 08:50:00,8.279,9.124303303303304,0.001,0.001,1730,0.0999001,31.79149042,roi,-811.342,-99.0,0.08295574613508927,-0.9902082452626193,8.201,9.134,False,,1634702400000.0,1634806200000.0
DOT/USDT,317.91490415,7.2368519,10/20/21 16:00:00,10/21/21 15:35:00,43.93,42.12,0.001,0.001,1415,-0.04311759,-13.72143304,stoploss,-4305.14,-99.0,0.4401794816227103,-0.9902442490775109,41.91,45.53,False,,1634745600000.0,1634830500000.0
FTM/USDT,317.91490415,131.82191158,10/19/21 08:00:00,10/21/21 23:25:00,2.4117,2.2374,0.001,0.001,3805,-0.07412627,-23.58941244,stoploss,-236.34660000000002,-99.0,0.024165282411062743,-0.9893149617920663,2.0996,2.55,False,,1634630400000.0,1634858700000.0
SOL/USDT,316.09351698,1.65963203,10/22/21 00:00:00,10/22/21 12:55:00,190.46,209.90636636636634,0.001,0.001,775,0.0999001,31.60935164,roi,-18665.08,-99.0,1.9084130219920261,-0.9904926367658445,187.96,210.12,False,,1634860800000.0,1634907300000.0
SOL/USDT,326.52460302,1.58100326,10/22/21 16:00:00,10/22/21 21:50:00,206.53,193.38,0.001,0.001,350,-0.06554192,-21.42245188,stoploss,-20239.94,-99.0,2.069434745453623,-0.9894432752871825,192.0,211.12,False,,1634918400000.0,1634939400000.0
LUNA/USDT,303.78093797,6.78688423,10/22/21 08:00:00,10/23/21 10:55:00,44.76,41.74,0.001,0.001,1615,-0.06933415,-21.08345586,stoploss,-4386.48,-99.0,0.4484960984074063,-0.9893947482050743,41.68,45.54,False,,1634889600000.0,1634986500000.0
MATIC/USDT,289.63167051,175.00403052,10/23/21 16:00:00,10/24/21 07:50:00,1.655,1.5819999999999999,0.001,0.001,950,-0.04601863,-13.34178227,stoploss,-162.19,-99.0,0.016583133218024675,-0.9895703564666511,1.581,1.661,False,,1635004800000.0,1635061800000.0
FTM/USDT,319.4551939,121.99931026,10/23/21 00:00:00,10/25/21 03:15:00,2.6185,2.885854354354354,0.001,0.001,3075,0.0999001,31.94551939,roi,-256.613,-99.0,0.026237422560597155,-0.9894148454590724,2.4696,2.89,False,,1634947200000.0,1635131700000.0
NEAR/USDT,328.40609599,36.08858198,10/21/21 12:00:00,10/25/21 01:30:00,9.1,10.029129129129128,0.001,0.001,5130,0.0999001,32.8406096,roi,-891.8,-99.0,0.0911821826350934,-0.9899335192498241,8.813,10.119,False,,1634817600000.0,1635125400000.0
NEAR/USDT,329.47428789,31.86405105,10/25/21 04:00:00,10/25/21 13:45:00,10.34,11.395735735735736,0.001,0.001,585,0.0999001,32.94742879,roi,-1013.3199999999999,-99.0,0.1036070074580107,-0.9897964341680116,10.077,11.49,False,,1635134400000.0,1635169500000.0
FTM/USDT,329.47428789,113.51787758,10/25/21 04:00:00,10/26/21 05:00:00,2.9024,3.1987411411411406,0.001,0.001,1500,0.0999001,32.94742879,roi,-284.4352,-99.0,0.029082106249103908,-0.9900702996964272,2.8272,3.1995,False,,1635134400000.0,1635224400000.0
NEAR/USDT,340.34693939,28.36460867,10/25/21 16:00:00,10/26/21 11:50:00,11.999,13.224123123123123,0.001,0.001,1190,0.0999001,34.03469394,roi,-1175.902,-99.0,0.12023022081119397,-0.9900190751443472,11.807,13.23,False,,1635177600000.0,1635249000000.0
FTM/USDT,351.21959089,102.73183307,10/26/21 08:00:00,10/26/21 14:10:00,3.4188,3.2036,0.001,0.001,370,-0.0648183,-22.78822177,stoploss,-335.0424,-99.0,0.034256444618515416,-0.98959403261892,3.1763,3.4717000000000002,False,,1635235200000.0,1635257400000.0
NEAR/USDT,354.9309267,27.11673365,10/26/21 12:00:00,10/26/21 22:00:00,13.089,12.146,0.001,0.001,600,-0.07389928,-26.25537061,stoploss,-1282.722,-99.0,0.13115204269253372,-0.9893597239418681,12.059,13.218,False,,1635249600000.0,1635285600000.0
MATIC/USDT,354.9309267,193.3174982,10/26/21 16:00:00,10/26/21 22:05:00,1.8359999999999999,1.7429999999999999,0.001,0.001,365,-0.05255039,-18.67041066,stoploss,-179.928,-99.0,0.018396756845904628,-0.9897282206332191,1.736,1.843,False,,1635264000000.0,1635285900000.0
SAND/USDT,329.47428789,415.53069477,10/25/21 00:00:00,10/27/21 01:45:00,0.7929,0.8738567567567567,0.001,0.001,2985,0.0999001,32.94742879,roi,-77.7042,-99.0,0.007944873914562828,-0.9897100454415713,0.7691,0.876,False,,1635120000000.0,1635299100000.0
SAND/USDT,350.97807039,408.63671019,10/27/21 04:00:00,10/27/21 08:00:00,0.8589,0.7893,0.001,0.001,240,-0.08286998,-29.11463005,stoploss,-84.1722,-99.0,0.008606195239199284,-0.9893236630204698,0.7305,0.8714000000000001,False,,1635307200000.0,1635321600000.0
MATIC/USDT,341.37024247,181.77329205,10/28/21 04:00:00,10/28/21 20:55:00,1.8780000000000001,2.0697477477477477,0.001,0.001,1015,0.0999001,34.13702425,roi,-184.044,-99.0,0.018817597689075972,-0.9900698692933636,1.826,2.07,False,,1635393600000.0,1635454500000.0
SAND/USDT,341.37024247,389.29209998,10/28/21 16:00:00,10/29/21 00:35:00,0.8769,0.9664333333333334,0.001,0.001,515,0.0999001,34.13702425,roi,-85.9362,-99.0,0.00878655559820378,-0.9902436646699936,0.8685,0.98,False,,1635436800000.0,1635467700000.0
MATIC/USDT,352.63546047,165.24623265,10/29/21 00:00:00,10/29/21 14:45:00,2.134,1.956,0.001,0.001,885,-0.08524278,-30.0896865,stoploss,-209.13199999999998,-99.0,0.021382722828767752,-0.9898803962002992,1.94,2.22,False,,1635465600000.0,1635518700000.0
SAND/USDT,363.90067847,345.61751209,10/29/21 04:00:00,10/29/21 12:50:00,1.0529,1.160403303303303,0.001,0.001,530,0.0999001,36.39006785,roi,-103.18419999999999,-99.0,0.010550079134070033,-0.9894043596122627,0.9702000000000001,1.19,False,,1635480000000.0,1635511800000.0
