pair,stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,sell_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,buy_tag,open_timestamp,close_timestamp
DOT/USDT,330.0,7.54458162,10/15/21 20:00:00,10/16/21 20:15:00,43.74,41.4,0.001,0.001,1455,-0.05538906,-18.29666667,stoploss,-4286.52,-99.0,0.4382756778988707,-0.9898476794556667,41.26,44.78,False,,1634328000000.0,1634415300000.0
MATIC/USDT,330.0,221.03148024,10/15/21 08:00:00,10/17/21 20:30:00,1.4929999999999999,1.413,0.001,0.001,3630,-0.05547433,-18.3248359,stoploss,-146.314,-99.0,0.014959889958198951,-0.9897745113067676,1.407,1.634,False,,1634284800000.0,1634502600000.0
DOT/USDT,317.91490415,7.2368519,10/20/21 16:00:00,10/21/21 15:35:00,43.93,42.12,0.001,0.001,1415,-0.04311759,-13.72143304,stoploss,-4305.14,-99.0,0.4401794816227103,-0.9902442490775109,41.91,45.53,False,,1634745600000.0,1634830500000.0
FTM/USDT,317.91490415,131.82191158,10/19/21 08:00:00,10/21/21 23:25:00,2.4117,2.2374,0.001,0.001,3805,-0.07412627,-23.58941244,stoploss,-236.34660000000002,-99.0,0.024165282411062743,-0.9893149617920663,2.0996,2.55,False,,1634630400000.0,1634858700000.0
LUNA/USDT,293.28974614,6.55249656,10/22/21 08:00:00,10/23/21 10:55:00,44.76,41.74,0.001,0.001,1615,-0.06933415,-20.35533056,stoploss,-4386.48,-99.0,0.4484960984074063,-0.9893947482050743,41.68,45.54,False,,1634889600000.0,1634986500000.0
NEAR/USDT,317.91490415,38.40015753,10/20/21 04:00:00,10/23/21 16:35:00,8.279,9.329,0.001,0.001,5075,0.12457551,39.64401543,roi,-811.342,-99.0,0.08295574613508927,-0.9902082452626193,8.201,9.777,False,,1634702400000.0,1635006900000.0
MATIC/USDT,311.96759115,188.50005508,10/23/21 16:00:00,10/24/21 07:50:00,1.655,1.5819999999999999,0.001,0.001,950,-0.04601863,-14.3706787,stoploss,-162.19,-99.0,0.016583133218024675,-0.9895703564666511,1.581,1.661,False,,1635004800000.0,1635061800000.0
FTM/USDT,307.22526718,112.5367279,10/24/21 08:00:00,10/26/21 05:45:00,2.73,3.2192653202382666,0.001,0.001,2745,0.17686199,54.39080736,trailing_stop_loss,-267.54,-99.0,3.2192653202382666,-0.0008177410105011385,2.6692,3.25,False,,1635062400000.0,1635227100000.0
FTM/USDT,325.17423361,95.11355844,10/26/21 08:00:00,10/26/21 14:10:00,3.4188,3.2036,0.001,0.001,370,-0.0648183,-21.09831781,stoploss,-335.0424,-99.0,0.034256444618515416,-0.98959403261892,3.1763,3.4717000000000002,False,,1635235200000.0,1635257400000.0
MATIC/USDT,318.21178873,173.31796772,10/26/21 16:00:00,10/26/21 22:05:00,1.8359999999999999,1.7429999999999999,0.001,0.001,365,-0.05255039,-16.738876,stoploss,-179.928,-99.0,0.018396756845904628,-0.9897282206332191,1.736,1.843,False,,1635264000000.0,1635285900000.0
SOL/USDT,305.60232514,1.60454859,10/22/21 00:00:00,10/27/21 08:10:00,190.46,178.71,0.001,0.001,7690,-0.06356748,-19.44579714,stoploss,-18665.08,-99.0,1.908413022406276,-0.9899836612480645,176.94,218.93,False,,1634860800000.0,1635322200000.0
SAND/USDT,307.22526718,387.47038363,10/25/21 00:00:00,10/27/21 08:05:00,0.7929,0.7316,0.001,0.001,3365,-0.07915467,-24.34263312,stoploss,-77.7042,-99.0,0.007944873914562828,-0.9897100454415713,0.7162000000000001,0.8888,False,,1635120000000.0,1635321900000.0
MATIC/USDT,298.23777767,158.80605839,10/28/21 04:00:00,10/29/21 00:20:00,1.8780000000000001,2.2129733370080316,0.001,0.001,1220,0.17601268,52.54612397,trailing_stop_loss,-184.044,-99.0,2.2129733370080316,-1.2048347026061279e-05,1.826,2.22,False,,1635393600000.0,1635466800000.0
SAND/USDT,298.23777767,340.1046615,10/28/21 16:00:00,10/29/21 03:35:00,0.8769,1.0353774879854851,0.001,0.001,695,0.17836561,53.24855792,trailing_stop_loss,-85.9362,-99.0,1.0353774879854851,-0.0022381343495374573,0.8685,1.0421,False,,1635436800000.0,1635478500000.0
SAND/USDT,333.15002269,316.41183654,10/29/21 04:00:00,10/30/21 11:35:00,1.0529,1.2471174137090786,0.001,0.001,1895,0.18209295,60.72493583,trailing_stop_loss,-103.18419999999999,-99.0,1.2471174137090786,-0.005726370318840379,0.9702000000000001,1.2668,False,,1635480000000.0,1635593700000.0
SAND/USDT,353.18925151,285.10595053,10/30/21 12:00:00,10/30/21 13:15:00,1.2388,1.4718144080400142,0.001,0.001,75,0.18572305,65.66098199,trailing_stop_loss,-121.40239999999999,-99.0,1.4718144080400142,-0.009079372490396476,1.2266,1.55,False,,1635595200000.0,1635599700000.0
SAND/USDT,374.85737557,270.61606668,10/30/21 16:00:00,10/30/21 17:15:00,1.3852,1.6548049595665404,0.001,0.001,75,0.19224564,72.13675953,trailing_stop_loss,-135.7496,-99.0,1.6548049595665404,-0.014997047877059355,1.3656000000000001,1.75,False,,1635609600000.0,1635614100000.0
SAND/USDT,398.66250621,233.532017,10/30/21 20:00:00,10/30/21 22:35:00,1.7071,2.121200564195581,0.001,0.001,155,0.24009279,95.81170924,trailing_stop_loss,-167.2958,-99.0,2.121200564195581,-0.05459706547418064,1.6282,2.3647,False,,1635624000000.0,1635633300000.0
SAND/USDT,430.28037026,238.85887102,10/31/21 00:00:00,10/31/21 01:05:00,1.8014000000000001,2.1249131508727093,0.001,0.001,65,0.17723302,76.33615125,trailing_stop_loss,-176.5372,-99.0,2.1249131508727093,-0.001168961703154503,1.7673,2.3987,False,,1635638400000.0,1635642300000.0
SAND/USDT,455.47130018,214.92605709,10/31/21 04:00:00,10/31/21 10:10:00,2.1192,1.734,0.001,0.001,370,-0.18340154,-83.61767027,stoploss,-207.68160000000003,-99.0,0.02123442655369664,-0.9879725706294553,1.7065000000000001,2.1295,False,,1635652800000.0,1635675000000.0
SAND/USDT,427.87746899,200.89087234,11/02/21 00:00:00,11/02/21 00:35:00,2.1299,2.5637226401642446,0.001,0.001,35,0.2012772,86.20810268,trailing_stop_loss,-208.73020000000002,-99.0,2.5637226401642446,-0.02297155481545554,2.0785,2.66,False,,1635811200000.0,1635813300000.0
SAND/USDT,456.32614287,168.13166165,11/02/21 04:00:00,11/02/21 22:10:00,2.7141,3.2127313316629778,0.001,0.001,1090,0.18135378,82.83922634,trailing_stop_loss,-265.9818,-99.0,3.2127313316629778,-0.005038299268201429,2.5293,3.2609,False,,1635825600000.0,1635891000000.0
