pair,stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,sell_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,buy_tag,open_timestamp,close_timestamp
FTM/USDT,165.0,106.5203357,10/06/21 20:00:00,10/08/21 12:00:00,1.549,2.2563,0.001,0.001,2400,0.45370685,74.93649161,roi,-151.802,-99.0,-151.802,-99.0,1.5276,2.441,False,,1633550400000.0,1633694400000.0
NEAR/USDT,165.0,19.76284585,10/07/21 16:00:00,10/09/21 20:05:00,8.349,7.939,0.001,0.001,3125,-0.05100756,-8.42466403,stoploss,-818.202,-99.0,-818.202,-99.0,7.93,8.752,False,,1633622400000.0,1633809900000.0
FTM/USDT,189.72904223,81.58985217,10/08/21 16:00:00,10/10/21 01:05:00,2.3254,2.0909,0.001,0.001,1985,-0.10263938,-19.4931456,stoploss,-227.88920000000002,-99.0,-227.88920000000002,-99.0,2.0733,2.45,False,,1633708800000.0,1633827900000.0
ROSE/USDT,165.0,820.40572792,10/08/21 08:00:00,10/18/21 10:20:00,0.20112000000000002,0.18949000000000002,0.001,0.001,14540,-0.05970864,-9.8617773,stoploss,-19.709760000000003,-99.0,-19.709760000000003,-99.0,0.18704,0.233,False,,1633680000000.0,1634552400000.0
FTM/USDT,177.26177854,73.5007582,10/19/21 08:00:00,10/21/21 23:25:00,2.4117,2.2374,0.001,0.001,3805,-0.07412627,-13.15289453,stoploss,-236.34660000000002,-99.0,-236.34660000000002,-99.0,2.0996,2.55,False,,1634630400000.0,1634858700000.0
SOL/USDT,177.26177854,1.05044017,10/20/21 16:00:00,10/23/21 03:15:00,168.75,203.95,0.001,0.001,3555,0.20617782,36.58399493,roi,-16537.5,-99.0,-16537.5,-99.0,166.78,215.1,False,,1634745600000.0,1634958900000.0
NEAR/USDT,177.26177854,21.41101323,10/20/21 04:00:00,10/23/21 16:35:00,8.279,9.329,0.001,0.001,5075,0.12457551,22.10455877,roi,-811.342,-99.0,-811.342,-99.0,8.201,9.777,False,,1634702400000.0,1635006900000.0
NEAR/USDT,192.28854607,20.03840622,10/24/21 08:00:00,10/25/21 13:35:00,9.596,11.109,0.001,0.001,1775,0.15535684,29.90321341,roi,-940.408,-99.0,-940.408,-99.0,9.136,11.188,False,,1635062400000.0,1635168900000.0
FTM/USDT,164.24041296,63.57037195,10/22/21 20:00:00,10/25/21 23:30:00,2.5836,2.9993,0.001,0.001,4530,0.15858004,26.07129659,roi,-253.1928,-99.0,-253.1928,-99.0,2.4696,3.0,False,,1634932800000.0,1635204600000.0
FTM/USDT,210.76013437,69.29935698,10/26/21 00:00:00,10/27/21 08:05:00,3.0413,2.7467,0.001,0.001,1925,-0.09867093,-20.81669524,stoploss,-298.04740000000004,-99.0,-298.04740000000004,-99.0,2.52,3.4717000000000002,False,,1635206400000.0,1635321900000.0
NEAR/USDT,202.1566065,16.84778786,10/25/21 16:00:00,10/27/21 08:05:00,11.999,10.982,0.001,0.001,2405,-0.08658572,-17.52137927,stoploss,-1175.902,-99.0,-1175.902,-99.0,10.401,13.23,False,,1635177600000.0,1635321900000.0
SAND/USDT,192.28854607,242.51298533,10/25/21 00:00:00,10/27/21 08:05:00,0.7929,0.7316,0.001,0.001,3365,-0.07915467,-15.23575705,stoploss,-77.7042,-99.0,-77.7042,-99.0,0.7162000000000001,0.8888,False,,1635120000000.0,1635321900000.0
SAND/USDT,193.08076996,220.18561975,10/28/21 16:00:00,10/29/21 11:05:00,0.8769,1.1108,0.001,0.001,1145,0.26420415,51.0637535,roi,-85.9362,-99.0,-85.9362,-99.0,0.8685,1.1167,False,,1635436800000.0,1635505500000.0
SAND/USDT,209.93180861,190.37980286,10/29/21 12:00:00,11/01/21 11:05:00,1.1027,2.0634,0.001,0.001,4265,0.86748646,182.29511511,roi,-108.0646,-99.0,-108.0646,-99.0,1.0503,2.45,False,,1635508800000.0,1635764700000.0
ROSE/USDT,270.0891966,1309.14253597,11/04/21 00:00:00,11/05/21 12:00:00,0.20631000000000002,0.19216000000000003,0.001,0.001,2160,-0.07044708,-19.04602091,stoploss,-20.218380000000003,-99.0,-20.218380000000003,-99.0,0.19184,0.22663000000000003,False,,1635984000000.0,1636113600000.0
SOL/USDT,270.0891966,1.22317466,11/03/21 00:00:00,11/06/21 15:30:00,220.81,251.69,0.001,0.001,5250,0.13757132,37.19368347,roi,-21639.38,-99.0,-21639.38,-99.0,215.69,254.44,False,,1635897600000.0,1636212600000.0
SAND/USDT,270.0891966,126.80839316,11/02/21 00:00:00,11/07/21 12:05:00,2.1299,2.6739,0.001,0.001,7925,0.25290274,68.37460372,roi,-208.73020000000002,-99.0,-208.73020000000002,-99.0,2.0785,3.45,False,,1635811200000.0,1636286700000.0
SOL/USDT,276.07792524,1.09031209,11/06/21 16:00:00,11/08/21 01:40:00,253.21,242.17,0.001,0.001,2020,-0.04551106,-12.57716428,stoploss,-24814.58,-99.0,-24814.58,-99.0,240.83,259.9,False,,1636214400000.0,1636335600000.0
FTM/USDT,294.49108026,93.08144644,11/09/21 00:00:00,11/09/21 12:15:00,3.1638,2.9938000000000002,0.001,0.001,735,-0.0556235,-16.39700421,stoploss,-310.05240000000003,-99.0,-310.05240000000003,-99.0,2.9704,3.169,False,,1636416000000.0,1636460100000.0
NEAR/USDT,289.08006887,25.06547029,11/10/21 12:00:00,11/10/21 20:05:00,11.533,10.821,0.001,0.001,485,-0.06361054,-18.40692837,stoploss,-1130.234,-99.0,-1130.234,-99.0,10.62,11.8,False,,1636545600000.0,1636574700000.0
ROSE/USDT,294.49108026,1357.22684237,11/08/21 08:00:00,11/10/21 20:55:00,0.21698,0.20244,0.001,0.001,3655,-0.0688749,-20.30332637,stoploss,-21.26404,-99.0,-21.26404,-99.0,0.20059000000000002,0.2278,False,,1636358400000.0,1636577700000.0
NEAR/USDT,276.3056848,22.65729273,11/11/21 12:00:00,11/12/21 11:55:00,12.195,11.261,0.001,0.001,1435,-0.07843374,-21.69336087,stoploss,-1195.1100000000001,-99.0,-1195.1100000000001,-99.0,11.182,12.657,False,,1636632000000.0,1636718100000.0
ROSE/USDT,276.3056848,1201.4857799,11/12/21 00:00:00,11/15/21 21:45:00,0.22997,0.21430000000000002,0.001,0.001,5625,-0.07000118,-19.36106626,stoploss,-22.53706,-99.0,-22.53706,-99.0,0.21357,0.27541000000000004,False,,1636675200000.0,1637012700000.0
ROSE/USDT,262.75772385,1019.42860854,11/17/21 20:00:00,11/18/21 15:20:00,0.25775000000000003,0.22538000000000002,0.001,0.001,1160,-0.12733389,-33.4914206,stoploss,-25.259500000000003,-99.0,-25.259500000000003,-99.0,0.22445,0.30686,False,,1637179200000.0,1637248800000.0
SAND/USDT,262.75772385,82.18112903,11/16/21 20:00:00,11/18/21 17:50:00,3.1973,4.499,0.001,0.001,2750,0.40431332,106.34268503,roi,-313.3354,-99.0,-313.3354,-99.0,3.1091,4.5632,False,,1637092800000.0,1637257800000.0
ROSE/USDT,286.79864111,945.59393707,11/19/21 00:00:00,11/19/21 04:15:00,0.3033,0.25172,0.001,0.001,255,-0.17172086,-49.29855882,stoploss,-29.7234,-99.0,-29.7234,-99.0,0.2442,0.31926000000000004,False,,1637280000000.0,1637295300000.0
SAND/USDT,286.79864111,66.92302908,11/18/21 20:00:00,11/21/21 15:00:00,4.2855,3.8963,0.001,0.001,4020,-0.09263442,-26.59399376,stoploss,-419.979,-99.0,-419.979,-99.0,3.8462,4.6923,False,,1637265600000.0,1637506800000.0
ROSE/USDT,270.5301167,878.03095226,11/19/21 12:00:00,11/23/21 13:45:00,0.30811000000000005,0.44793000000000005,0.001,0.001,5865,0.45089427,122.10246122,roi,-30.194780000000005,-99.0,-30.194780000000005,-99.0,0.26454,0.46626000000000006,False,,1637323200000.0,1637675100000.0
SAND/USDT,261.75409876,57.99745164,11/22/21 20:00:00,11/24/21 01:55:00,4.5132,5.9551,0.001,0.001,1795,0.31684873,83.0193908,roi,-442.2936,-99.0,-442.2936,-99.0,4.4269,6.0,False,,1637611200000.0,1637718900000.0
ROSE/USDT,302.04791096,716.78946098,11/23/21 16:00:00,11/25/21 01:45:00,0.42139000000000004,0.36913,0.001,0.001,2025,-0.12576834,-38.02605364,stoploss,-41.296220000000005,-99.0,-41.296220000000005,-99.0,0.36681,0.444,False,,1637683200000.0,1637804700000.0
SAND/USDT,329.44430993,53.19795729,11/24/21 04:00:00,11/25/21 07:00:00,6.1928,8.4489,0.001,0.001,1620,0.36158427,119.24100291,roi,-606.8944,-99.0,-606.8944,-99.0,6.1833,8.4876,False,,1637726400000.0,1637823600000.0
SAND/USDT,356.24524319,44.15916641,11/25/21 08:00:00,11/25/21 16:15:00,8.0673,7.0725,0.001,0.001,495,-0.12506426,-44.59809969,stoploss,-790.5953999999999,-99.0,-790.5953999999999,-99.0,6.98,8.3457,False,,1637827200000.0,1637856900000.0
FTM/USDT,316.89571223,120.30968574,11/25/21 04:00:00,11/25/21 22:15:00,2.634,2.4326,0.001,0.001,1095,-0.07830689,-24.83993176,stoploss,-258.132,-99.0,-258.132,-99.0,2.4171,2.634,False,,1637812800000.0,1637878500000.0
SOL/USDT,333.33069281,1.4236992,12/02/21 20:00:00,12/03/21 16:55:00,234.13,220.09,0.001,0.001,1255,-0.06184487,-20.63540942,stoploss,-22944.739999999998,-99.0,-22944.739999999998,-99.0,217.86,243.12,False,,1638475200000.0,1638550500000.0
NEAR/USDT,326.5210077,35.07584141,12/08/21 20:00:00,12/15/21 04:05:00,9.309,13.326,0.001,0.001,9125,0.42865771,140.10571327,roi,-912.2819999999999,-99.0,-912.2819999999999,-99.0,8.895,17.95,False,,1638993600000.0,1639541100000.0
FTM/USDT,372.75589308,237.63604047,12/22/21 04:00:00,12/24/21 01:25:00,1.5686,1.9134,0.001,0.001,2725,0.21737666,81.10945806,roi,-153.7228,-99.0,-153.7228,-99.0,1.516,1.92,False,,1640145600000.0,1640309100000.0
ROSE/USDT,372.75589308,1153.97155928,12/23/21 20:00:00,12/24/21 20:05:00,0.32302000000000003,0.30124,0.001,0.001,1445,-0.06928945,-25.85387885,stoploss,-31.655960000000004,-99.0,-31.655960000000004,-99.0,0.30002,0.32999,False,,1640289600000.0,1640376300000.0
NEAR/USDT,372.75589308,28.94292205,12/23/21 04:00:00,12/26/21 18:00:00,12.879,15.759,0.001,0.001,5160,0.22117505,82.5267481,roi,-1262.142,-99.0,-1262.142,-99.0,12.117,15.969,False,,1640232000000.0,1640541600000.0
FTM/USDT,399.52201424,209.76688766,12/24/21 04:00:00,12/26/21 21:25:00,1.9046,2.3256,0.001,0.001,3925,0.21860414,87.42450382,roi,-186.6508,-99.0,-186.6508,-99.0,1.87,2.34,False,,1640318400000.0,1640553900000.0
NEAR/USDT,447.07414735,28.4145257,12/26/21 20:00:00,12/27/21 22:45:00,15.734,14.728,0.001,0.001,1605,-0.06580822,-29.45057614,stoploss,-1541.932,-99.0,-1541.932,-99.0,14.571,16.49,False,,1640548800000.0,1640645100000.0
FTM/USDT,447.07414735,191.24530408,12/27/21 00:00:00,12/28/21 00:10:00,2.3377,2.1654,0.001,0.001,1450,-0.07555566,-33.81276262,stoploss,-229.09459999999999,-99.0,-229.09459999999999,-99.0,2.1483,2.4488,False,,1640563200000.0,1640650200000.0
SAND/USDT,390.99023422,61.73367557,12/25/21 08:00:00,12/28/21 17:35:00,6.3335,5.9386,0.001,0.001,4895,-0.06422442,-25.13623032,stoploss,-620.683,-99.0,-620.683,-99.0,5.8629999999999995,6.9636,False,,1640419200000.0,1640712900000.0
ROSE/USDT,417.90228956,1117.38580095,12/29/21 04:00:00,01/03/22 13:50:00,0.374,0.43983000000000005,0.001,0.001,7790,0.17366636,72.64814519,roi,-36.652,-99.0,-36.652,-99.0,0.36002,0.4546,False,,1640750400000.0,1641217800000.0
FTM/USDT,417.90228956,168.52257825,01/01/22 20:00:00,01/04/22 13:40:00,2.4798,2.9433,0.001,0.001,3940,0.18453879,77.19630022,roi,-243.0204,-99.0,-243.0204,-99.0,2.37,2.9699999999999998,False,,1641067200000.0,1641303600000.0
FTM/USDT,467.35095654,156.5664846,01/04/22 16:00:00,01/05/22 21:35:00,2.985,2.7447,0.001,0.001,1775,-0.08233967,-38.52000524,stoploss,-292.53,-99.0,-292.53,-99.0,2.7199999999999998,3.1599,False,,1641312000000.0,1641418500000.0
NEAR/USDT,441.87617747,26.81287485,01/04/22 00:00:00,01/05/22 20:10:00,16.48,15.243,0.001,0.001,2650,-0.07690871,-34.01811102,stoploss,-1615.04,-99.0,-1615.04,-99.0,15.0,17.664,False,,1641254400000.0,1641413400000.0
ROSE/USDT,443.41337817,988.59246466,01/12/22 00:00:00,01/15/22 12:00:00,0.44853000000000004,0.5706,0.001,0.001,5040,0.26961394,119.66997792,roi,-43.955940000000005,-99.0,-43.955940000000005,-99.0,0.44321000000000005,0.598,False,,1641945600000.0,1642248000000.0
NEAR/USDT,443.41337817,24.78554378,01/11/22 20:00:00,01/16/22 20:50:00,17.89,20.294,0.001,0.001,7250,0.13211026,58.63803604,roi,-1753.22,-99.0,-1753.22,-99.0,17.172,20.597,False,,1641931200000.0,1642366200000.0
FTM/USDT,482.90447089,153.87944391,01/16/22 08:00:00,01/17/22 21:15:00,3.1382,2.9449,0.001,0.001,2235,-0.06347075,-30.68096055,stoploss,-307.54359999999997,-99.0,-307.54359999999997,-99.0,2.915,3.3788,False,,1642320000000.0,1642454100000.0
